0,1,2,3
3236,9,St. Margrethen,Flurname
3561,52,La Motta,Flurname
3561,53,La Motta,Flurname
3847,59,Umbrail,Flurname
6032,67,Hospice Grand St-Bernard,Flurname
2701,78,Basel West - Güg Burgfelderstrasse,Flurname
6436,98,Col-France,Flurname
2844,104,Stein/Bad Säckingen,Flurname
1210,117,Realp,Flurname
1212,117,Realp,Flurname
3714,118,Splügenberg,Flurname
2844,121,Laufenburg Stadt,Flurname
2844,128,Stein Holzbrücke,Flurname
2701,150,Basel West - Güg Burgfelderstrasse,Flurname
6641,170,Troinex,Flurname
6641,171,Pierre-Grand,Flurname
6639,175,Soral 2,Flurname
3551,192,Bocchetta dal Meden,Bergname
3551,193,Col d'Anzana,Bergname
3551,194,Cima Buzzi,Bergname
3551,197,Piz Combul,Bergname
3551,198,Bocchetta Malgina,Bergname
3551,199,Piz Malgina,Bergname
3561,200,Passo dell'Arasè,Bergname
3561,202,Piz Sareggio,Bergname
3551,203,Giümelin,Bergname
3551,208,Pass Portun,Bergname
3561,209,Motta da Scioschin,Bergname
3551,210,Sassalta,Bergname
3551,211,Bocchetta di Valle Piana,Bergname
3551,212,Cornasc,Bergname
3551,213,Pizzo del Termine,Bergname
3561,214,Sassa Nera,Bergname
3561,215,Cima di Rosso,Bergname
3784,219,Crast'Agüzza,Bergname
3784,221,Piz Trovat,Bergname
3561,222,Corn da Mürasciola,Bergname
3784,225,Muot Arduond,Bergname
3784,226,Muot dals Lejs,Bergname
3784,227,Fuorcla Prünella,Bergname
3785,228,Muot da la Pischa,Bergname
3784,231,Fuorcla Chamuera,Bergname
3784,232,Piz Chatscheders,Bergname
3787,233,Piz Albana Pitschen,Bergname
3785,236,Munt Müsella,Bergname
3847,237,Pass Umbrail,Bergname
3847,238,Giogo di Santa Maria,Bergname
3847,239,Wormser Joch,Bergname
3847,240,Sella da Piz Cotschen,Bergname
3847,241,Piz Cotschen,Bergname
3847,242,Rötlspitz,Bergname
3847,243,Punta Rosa,Bergname
3847,244,Korspitz,Bergname
3847,245,Col di Quaira,Bergname
3561,248,Bocchetta da Vartegna,Bergname
3551,249,Pizzo Ometto,Bergname
